left_task_id,right_task_id,category,token_jaccard,sequence_ratio,disposition
clean_0101,clean_0104,multi_step,0.909091,0.988636,accepted_distinct_synthetic_instance
clean_0101,clean_0107,multi_step,0.909091,0.965909,accepted_distinct_synthetic_instance
clean_0101,clean_0110,multi_step,0.909091,0.954545,accepted_distinct_synthetic_instance
clean_0102,clean_0105,multi_step,0.909091,0.988636,accepted_distinct_synthetic_instance
clean_0102,clean_0108,multi_step,0.909091,0.965909,accepted_distinct_synthetic_instance
clean_0103,clean_0106,multi_step,0.909091,0.988636,accepted_distinct_synthetic_instance
clean_0103,clean_0109,multi_step,0.909091,0.965909,accepted_distinct_synthetic_instance
clean_0104,clean_0107,multi_step,0.909091,0.954545,accepted_distinct_synthetic_instance
clean_0104,clean_0110,multi_step,0.909091,0.965909,accepted_distinct_synthetic_instance
clean_0105,clean_0108,multi_step,0.909091,0.954545,accepted_distinct_synthetic_instance
clean_0106,clean_0109,multi_step,0.909091,0.954545,accepted_distinct_synthetic_instance
clean_0107,clean_0110,multi_step,0.909091,0.988636,accepted_distinct_synthetic_instance
clean_0221,clean_0222,error_recovery,0.928571,0.991379,accepted_distinct_synthetic_instance
clean_0221,clean_0223,error_recovery,0.928571,0.991379,accepted_distinct_synthetic_instance
clean_0221,clean_0224,error_recovery,0.928571,0.991379,accepted_distinct_synthetic_instance
clean_0221,clean_0225,error_recovery,0.928571,0.991379,accepted_distinct_synthetic_instance
clean_0222,clean_0223,error_recovery,0.928571,0.991379,accepted_distinct_synthetic_instance
clean_0222,clean_0224,error_recovery,0.928571,0.991379,accepted_distinct_synthetic_instance
clean_0222,clean_0225,error_recovery,0.928571,0.991379,accepted_distinct_synthetic_instance
clean_0223,clean_0224,error_recovery,0.928571,0.991379,accepted_distinct_synthetic_instance
clean_0223,clean_0225,error_recovery,0.928571,0.991379,accepted_distinct_synthetic_instance
clean_0224,clean_0225,error_recovery,0.928571,0.991379,accepted_distinct_synthetic_instance
clean_0228,clean_0241,no_tool,0.916667,0.939535,accepted_distinct_synthetic_instance
clean_0229,clean_0244,no_tool,0.920000,0.967136,accepted_distinct_synthetic_instance
